Tweets,Effectiveness,Intensity,Polarity,Annotated By,Date
"Budget 2023: Know what are lab-grown diamonds that FM Nirmala Sitharaman mentioned in this year's budget ⤵️

#NirmalaSitharaman #Budget2023 #BudgetWithEJ 

Visit https://t.co/xMTNCgAdBl for more. https://t.co/7wZGzEmiD5",,,,,
"Tipical middle class family expense
gas-18k
Electric-30k
Emi/rent-500k
Emi car-150k
School fees 2kid-300k
Med insurance -35k
Lic-150k
Grocery -180k
Hospital -50k
Incometax- 50k

""ITR filing fees""-0.199 🤣

Vacation/Pooja/festival/dress on credit card with emi

#Budget2023",,,,,
Max deposit limit for Senior Citizen savings Scheme up from ₹15 lakh to ₹30 lakh. #Budget2023,,,,,
‘Reporter’ from @MirrorNow gives the minister an introduction to her reply on the #Budget2023. Indian Media 😁 https://t.co/EZvuEDUo8W,,,,,
"“#achhedin is over, time for #AmritKaal” #Budget2023",,,,,
"https://t.co/3mauSVChDk

#TNIE | @bibekdebroy &amp; @AdityaSinha004 : There is a continuity in the govt’s economic strategy. It has definitely proved Galbraith wrong. Fiscal prudence can be practiced even during th election year

#Budget2023",,,,,
"The Budget 2023 Update on New Tax Regime. 
 
#eMSME #UnionBudget #BudgetBytes #Budget2023 #eMSME #india #AmritKaal #government #msme #business #incometax #directtax https://t.co/B0jrO7IqKI",,,,,
"January 31st Current Affairs
#CurrentAffairs #ca #gk #EconomicSurvey #budget2023 #fiscaldeficit #ManmohanSingh #LifetimeAchievement #GST #competitiveexams #Indianpolity #polity #indianrailway #police #ssc #cgl #chsl #mts #gd #bank #sbi #ibps #eenadu #epratibha #eenaduepratibha https://t.co/F2fcZNpZtY",,,,,
".
.

Ready for a Sundowner at Kilifi Creek 🥂
.
.
#ThursdayVibes 
#Magicalkenya 
#afrosailor
#sailing
#ksh #Budget2023 #WhatsApp 
#Sundowner https://t.co/FLb2oZE7JU",,,,,
"Why #Budget2023 is a thoughtless, vision-less heap of garbage 🧵 https://t.co/A4p0h55QII",,,,,
"Here's RISE's CEO @bhatiagp's nugget of reflection on the latest budget.
Read this article to uncover why budget 2023-24 strengthens opportunities for upskilling, entrepreneurship, and new-age innovations.

To learn more, click on the link: https://t.co/B13h4weRFz

#Budget2023 https://t.co/SwUI2bySAc",,,,,
Pappus of congress doing self goals. Utilizing more than 97% of budget allocation is exemplary execution by any standards. #Budget2023 https://t.co/OyZmcnVY32,,,,,
"@WIONews @vikramchandra Non @BJP4India states washed out of political #Budget2023 
@nsitharaman Is expert in preparation of biased budget.",,,,,
"One of my extended family members is unhappy with the budget saying nothing changed in 80C, the standard deduction limit.
So I asked him, how much tax have you paid in the last 5 years?
He said zero. 😂
#UnionBudget2023 #Budget2023 #Budget",,,,,
"Finance Minister Nirmala Sitharaman in her budget for FY24, proposed to form an IT portal to reclaim the unclaimed shares and unpaid dividends, making the process less of a hassle for them.

@yoosefkp

Read more here: 

#Budget2023 #Dividend 

https://t.co/98H3QzMLJc",,,,,
"#Millets being super food, with industry &amp; market support, millet cultivation can transform farming into a healthy &amp; wealthy proposition.
#Budget2023 #ShreeAnna #SaveSoil https://t.co/xLTKwJCipb https://t.co/VNC6291RmN",,,,,
"she is not from middle class that’s why she is not able to respond.what’s the big deal.why opposition is making a big issue of it.
 #Budget2023 https://t.co/S6pB4sJrot",,,,,
"Centre has pushed minorities to the wall after it slashed budgetary allocation for different welfare schemes for minorities by 87 per cent.

- Ishfaq-ul-Hassan

https://t.co/cDxeCUo4nl
#Budget2023 #Budget #Minorities https://t.co/wzQ8KJ2vgP",,,,,
"BJP does not want India to become a developed and strong nation.

That's why instead of increasing the education-health budget, it has been reduced.

#Budget2023 #BudgetSession #BudgetSession2023

#ModiDisasterForIndia #Modi #BJPfails #BJPHataoDeshBachao #BJPFailsIndia https://t.co/vsJu8Bcbul",,,,,
"Indian Aviation Industry Suffers Over Rs 24,000 Crore Loss In 2020-22 https://t.co/EXkb5o5Ngb #Budget2023 #BudgetSession #Indian #India #aviation #Airdrop #Airport #economy #EconomicCrisis #economics #GST #Industry40 #G20India2023 #G20Summit #Blackhistorymonth #MONEY",,,,,
"Non smoker convo with smoker friend after budget 2023 announcement.
#cigarettes 
#Budget2023 https://t.co/xDkUxnRfb7",,,,,
"#Budget2023 @AJIOLife #BoycottAJIOLife COM00052768811
Missing saree from parcel.
Don't shopping #AJIOLife
#bycott #bycottajio
I will see you 24 hour ,if refund not provide before this time.
#onlineshopping #shopping #Trending #trend #PUNE
#mumbai #ajio",,,,,
"@AJIOLife #BoycottAJIOLife COM00052768811
Missing saree from parcel.
Don't shopping #AJIOLife
#bycott #bycottajio
I will see you 24 hour ,if refund not provide before this time.
#onlineshopping #shopping #Trending #trend #PUNE
#mumbai #ajio #Budget2023",,,,,
"The new tax regime will be beneficial for a lot of salaried employees. This regime is win win situation for all.
#Budget2023 https://t.co/LBokxXKZ97",,,,,
"@nasscom @kramanuj @SuneetaReddy4 @ApolloInter @nsitharaman @kiranshaw @KhaitanCo @PiramalGroup @gkhannahcb Thought leaders write on CNBC-TV18. Read on⬇️
With its focus on the middle class, digitisation, MSME sector, and macroeconomic stability, the #Budget2023 sets the stage to uplift the financial status of the nation, writes Abhay Bhutada @poonawallafinco https://t.co/5WPT6B1jVt",,,,,
"Thank you to our 100 amazing followers! We're thrilled to be part of a community that is passionate about #Web3 &amp; #blockchain . Together, we will continue to build the #Web3forAll community through our Web3 Hackathons! 🚀

#Hackathon #Thalapathy67 #Budget2023 #ShivThakare #NFTs https://t.co/0G2P2LNP1G",,,,,
"#Budget2023 || Minister of State in the Ministry of Social Justice and Empowerment Ramdas Athawale's Old Budget Reaction Goes Viral Amid The Latest Budget News...

-

#RamdasAthawale #NirmalaSitharaman #BudgetMemes #Budget2022 #IndianBudget #IndianGovernment #NewsCred https://t.co/oCsfdlAKq6",,,,,
"Prayer is the bridge between
Panic attack and Peace
💕
.
.
.
#MAFS 

#trans 

#bist100 
#Ukraine
#Adani 

#Budget2023 https://t.co/QcgOCvLhJR",,,,,
"#Budget2023: Here are the big reveals from the Union Budget announcement for 2023, have a look!

#KotakKatha #Budget #UnionBudget2023 #Tax #MSME #MyMoney2023 https://t.co/wQg6fu001V",,,,,
"Analysis of source of Rupee Indian Revenue Budget 

2023 24 with 2014 15

⬆️
Borrowings 10 Ps
Income Tax 1 Ps

⬇️
Corporate Tax 6 Ps
Customs 5 Ps
Excise Service Tax/GST 3 Ps
Non Tax Revenue 3 Ps

#tax 
#budget2023 
#narendramodi 
#nirmalasitharaman 
#indianeconomy 
#indianfiscal https://t.co/N62FgDrpJy",,,,,
"Tax slabs keep changing but our tastes remain evergreen!

#Budget2023 #Budgeting #BudgetSession #TrendingNow #mithai #mithailover #taxing #Delhi #Gurgaon https://t.co/lbrvf0RLVw",,,,,
"2% in two days.

#Budget2023 https://t.co/ZfafFs32tz",,,,,
"Wonderful to see the budget being allocated which can boost tree-based agriculture.
#SaveSoil #ConsciousPlanet #Budget2023 #TreeBasedAgriculture https://t.co/UZilKOiFtG https://t.co/pdGowZt3Jf",,,,,
"#BSOpinion | This is a growth-oriented #Budget, one of the best in years, with a focus on both infra and job creation, while reducing #incometax for pretty much everyone and allotting lots of money to the states, writes Ashishkumar Chauhan.

#Budget2023
https://t.co/LBxP4Nr1NG",,,,,
"#Budget2023 | The ball is in the industry's court, you hit it, we respond, says Finance Minister #NirmalaSitharaman. 

Watch live: https://t.co/fmUu6w1cPG https://t.co/5HGv9WuAz3",,,,,
"The tax benefits are merely a Mirage. The tax slabs even for the old regime should've been changed as inflation affects them too. Invts planned as per tax deductions under 80C, interest on housing loans etc.,have been given no relief at all making it very unfair.

#Budget2023 https://t.co/5aKsFlJt8a",,,,,
"On a lighter note:

For a tax free life, contact Yumraj.
#Budget2023",,,,,
"'Budget 2023 energising debates on defence spending but Indian police left begging'

ThePrint National Security Editor @praveenswami writes in his column #SecurityCode

#Budget2023

https://t.co/2pThbTIEMM",,,,,
"True happiness comes when you can save both your health and your taxes.
Visit https://t.co/AYwUCjvc6Z to enjoy Tax savings before it's too late.
#SaveTax #TaxSavings #TaxIndia #TaxSaved #InsuranceSavesTax #NewTax #Tax #Budget2023 #TaxReturns #Taxes #IncomeTax #TrendingNow https://t.co/wScnPEvF3z",,,,,
"Many years ago, thousands of people would throng Mumbai’s famous Brabourne Stadium to hear eminent lawyer Nani Palkhivala’s analysis of the Budget #Budget2023 #NirmalaSitharaman https://t.co/Bw2Oal00Ej",,,,,
"""Allocations,schemes"" w/o accountability, at the centre &amp; states, are good to hear &amp; read. 

Govt talks about ease of doing business forgetting that our country isn't experiencing anything of an ""ease of living"". It is a matter of time when everything will collapse.
#Budget2023 https://t.co/ASRiFw1OX0",,,,,
"80G could be read as ATG...?
Exemption Continues

#Budget2023 
@SandeepDevidan @csdadhich @learner_vk",,,,,
Amritkaal Budget! #Budget2023 #amritkaal #Budget https://t.co/EWrwWMAP9c,,,,,
"#WATCH | J&amp;K BJP President Ravinder Raina described Union Budget as historic. He thanked the Central Government for taking care of the poor as well as all sections of the society in the budget...
@ImRavinderRaina @BJP4JnK #RavinderRaina #Budget2023 #BJP #JammuKashmir https://t.co/nZfSqDia1H",,,,,
"#Budget2023 | States utilization of 50 year loan not disheartening, says Finance Minister #NirmalaSitharaman. 

Watch live: https://t.co/fmUu6w1cPG https://t.co/taTVj8QxEX",,,,,
"AGAIN &amp; AGAIN, Arrogant Remark by FM

❓ ""Not Good Enough"" #Budget2023 for Middle class
😡 ""Next question please""
- #NirmalaSitharaman 

#चौकीदार_ही_चोर_है https://t.co/YQZvE3PS4U",,,,,
"And what about taxing #YouTube income?

(Shhh..some of my followers are making a lot of money on #Twitter too)

#Budget2023 #taxes",,,,,
Around 80% of salaried tax payers in India earn below ₹7 lakh per annum. This is a great budget for them. #Budget2023 #IndianEconomy #economy,,,,,
"#Budget2023
Please help me I loose a lot of money in trading. I lost my grand mother loan money and she doesn't know about. Please help me.
I'm a student I don't have any source of incomes.
Please as much you can.
Honestly this will be big help.

Upi Id = vivaanaarav@ybl https://t.co/WMKZN0mq6W",,,,,
"@Loganat007 New Tax Regime: No tax on income upto 7 Lakhs.

Old Tax Regime: No tax on income uptu 5 Lakhs + 1.5 Lakhs(80C) + 50K(NPS) + 1 Lakh(HRA) + 20K(Health Insurance) = 7.7 Lakhs

Now celebrate 😂😂

#Budget2023",,,,,
"Team dynamics. Achievement of goals and objectives is directly related to cohesion or lack of cohesion within the group.
HBD Omoyemwen #Budget2023 #BusinessProposal https://t.co/sTdRV5slxD",,,,,
"#Budget2023: 'Amrit'anjan balm for taxpayers 
Lower taxes, higher savings 

#MiddleClass purse-pective: Political perk or eco-expediency?

Watch #TheUrbanDebate with @shreyadhoundial https://t.co/ksDnIhZU1P",,,,,
"Great meeting this AM w/ NDP MP @DonDavies, longtime health critic of the government, about the work of @DiabetesCanada to #FundTheFramework in #Budget2023. He's an effective parliamentarian in driving #cdnpoli &amp; #cdnhealth change and a leader on #HESA. https://t.co/sbu8x49SR9",,,,,
#Budget2023 What do you thinking about #Budget2023,,,,,
"#Budget2023
#चौकीदार_ही_चोर_है
Well said sir 🫡 https://t.co/dF9XsdzyT3",,,,,
"The #UnionBudget2023 announced will certainly prove to be beneficial for Garuda Aerospace under various sectors.

@JM_Scindia @nsitharaman @narendramodi @investindia 

#Budget2023 #AmritKaalBudget https://t.co/paaXXF8MAv",,,,,
"New Tax Regime: No tax on income upto 7 Lakhs.

Old Tax Regime: No tax on income uptu 5 Lakhs + 1.5 Lakhs(80C) + 50K(NPS) + 1 Lakh(HRA) + 20K(Health Insurance) = 7.7 Lakhs

Now celebrate 😂😂

#Budget2023",,,,,
"WATCH | 

Budget 2023: मदरसों के फंड में 93% कटौती | Massive Cut in Funds for Madrasas | The Pamphlet | @JayeshMatiyal

Full Video: https://t.co/2RqjWc01pY

#budget #nirmalasitharaman #budget2023 https://t.co/MU6GRD1Zyc",,,,,
Me leaving... #TrendingNow #Budget2023 #ElectricityShutDown https://t.co/lcwjK9l8Gz,,,,,
"#TheIndiaStory | Arun Chawla, Director General of FICCI, tells @VikramChandra what he thought of #Budget2023. https://t.co/Zw3gMqHRJ3",,,,,
"When you are drunk last night and you realise that the other day you have present budget!
WATCH TILL THE END 
#Thalapathy67 #Thalapathy67Update
#INDvsAUS #Budget2023 #ChatGPT #UkraineWar #Adani #HindenburgReport https://t.co/oJ3s1D0Jnt",,,,,
"Budget 2023: This Is how the budgetary allocation compares with last year. #UnionBudget2023 #Budget2023 #AatmanirbharBharat #PMModiji
#happinessbharat https://t.co/CSGZdMskEh",,,,,
"Budget 2023 me agar me medical colleges me attendance 75% se 50% kardete toh badhiya ho jata !!
#Budget2023 #MedTwitter",,,,,
"#BudgetWithBS | The #Budget proposal to #tax income from traditional insurance policies, other than ULIPs, having premia above Rs 5 lakh in a year is likely to impact growth of #lifeinsurance companies and their margins.

@subratapanda reports

#Budget2023
https://t.co/U4FS2VaKyo",,,,,
"End of Adani Group?
#HindenburgReport #HindenbergResearch #GautamAdani #standwithadani #Budget2023 https://t.co/aBlkMYapFh",,,,,
"#Budget2023 apart being visionary for Bharat of #AmritKaal, signifies rapid strides made economically; given the rise in per capita to 1.97 lakh and being 5th largest eco., despite 🌎 challenges. This exhibits strong resolve and prudent decision making.

https://t.co/H9yyPRTsTf",,,,,
"@IndiaWantsMB @MamataOfficial @AITCofficial @narendramodi @AmitShah @BJP4India @nsitharaman @ABHIJIT_LS @SushmitaDevAITC @FirhadHakim @ItsYourDev “Today’s budget is anti-poor, anti-people. I condemn this budget. There is no light in this budget, it’s only darkness. It contains lies, bluff. It’s to show people something because of upcoming elections” - Hon’ble Bengal CM @MamataOfficial on #Budget2023.

#IndiaWantsMamataDi",,,,,
"The solution is: Both the statements are correct. 

Well done guys.
I hope the #Budget2023 highlights in 15 minutes was helpful.

#prelimschallenge #UPSC #upscprelims #Prelims2023",,,,,
"Amrit kal mai logon ko kyu zeher khane ki jaldi hain 🤔🤔

The National Crime Records Bureau (NCRB) released data on suicidal deaths in India in August, 2022 and the figures were startling 

#Budget2023",,,,,
".@MRVChennai joins me #Live to talk about two hot topics #Adani and #Budget2023 at 9PM IST. How much is government’s exposure to the #AdaniGroup of companies? Will it step in? Dr MRV is uniquely qualified, to answer your Qs. https://t.co/DTLy6ewbH8 #AskMRV What is the DREAM part?",,,,,
No job creation statement in finance budget #Budget2023 https://t.co/KBk61PWsIj,,,,,
"#Budget2023: Here are some key takeaways for tech, startups from Nirmala Sitharaman's speech. Have a look!

News18's @Bhaswati19Guha decodes it for us.

#NirmalaSitharaman #Budget #UnionBudget2023 #AI https://t.co/rMDCqqE8M4",,,,,
#gst is ineff for business man that's it bcoZ how much margin he earn it's not ur bussines bcoz he she made losses too. So need to think on it. #Budget2023 #tax rearang number of salary payout income tax eg. नंबर of person working in organization.,,,,,
One of the things I'm most excited about in #India's #Budget2023 is the near doubling of allocation of funds for #IndianRailways. 100% electrification of its massive track network and green hydrogen powered locos would be quite a feat! https://t.co/DSpk4SHUqb,,,,,
"India Raises Its Defence Budget By Nearly 13% to $72.6 Billion #India #DefenceBudget #Budget2023 #Military
https://t.co/WR9AXcCiwg",,,,,
"The rapper and their lyrics are shining a light on the truth.

Unfortunately, it may not sit well with those in power. Especially #KCR and their goons. 

Hats off to Finance Minister @nsitharaman jI and Prime Minister @narendramodi Ji for their efforts on #Budget

#Budget2023 https://t.co/Mm49rRNEPl https://t.co/xRdEESluOP",,,,,
"How did prominent papers cover #Budget2023?

@tanishka_s2 takes a look.

https://t.co/JLCembRYVt",,,,,
"The best budget so far!!!!
#Budget2023",,,,,
"""The renewable sector will experience a big push with a capital investment of Rs. 35,000 crores towards energy transition, net zero objective, and energy security,"" says our president, Deepak Jain (Deepak Jain).

Click here: https://t.co/IsD9YnEVrz to read more

#GREW #Budget2023 https://t.co/DQEskNXAKb",,,,,
"#Budget2023 | This is a huge impactful budget. They have done a deep dive into the things which will make difference to the economy. : Saket Dalmia, President, PHDCCI

#NewsEpicentre | @maryashakil https://t.co/GsCtoPcqGd",,,,,
"A much-needed initiative to boost tree-based agriculture. Supporting farmers to shift to tree-based agriculture will improve farmers' incomes, the health &amp; wellbeing of the people, and the nation's soil, water and ecology. 
#Budget2023 #SaveSoil #TreeBasedAgriculture #Budget2023",,,,,
"#Telangana gets ⭕️ in Union #Budget2023 

Rs.5,300 Cr for poll bound #Karnataka’s Upper Bhadra project. Rs.3,500 Cr for Ken-Betwa project that’ll benefit Madhya Pradesh and Uttar Pradesh.

Why such apathy towards Irrigation projects like #Kaleshwaram &amp; #PalamuruRR in Telangana? https://t.co/NorlDJOTMI",,,,,
"https://t.co/My364aWERM

music that leave you in world you can't imagen

#KingOfKotha #StockMarket #Adani #Budget2023 #krishna #HindusUnderAttack #HindenburgReport #hindu",,,,,
"#Budget2023: 'Amrit'anjan balm for taxpayers 
Lower taxes, higher savings 

#MiddleClass purse-pective: Political perk or eco-expediency?

Watch #TheUrbanDebate with @shreyadhoundial https://t.co/jMeDlfUs5X",,,,,
"With only 0.24% of the budget allocated to them, 90% of India's workforce is in the #unorganisedsector! How is this even remotely fair? Why doesn't the government recognise this crisis and do something about it!? #IndianEconomy #IndiaBudget2023 #Budget2023 https://t.co/m889rX9CvZ",,,,,
"#BudgetWithMC | #Cement &amp; #steel sectors have clearly gained from #Budget2023. However, even with an expected demand spike, building material prices may remain on a weak wicket.

Here's why⬇️
https://t.co/Jzo47Nt114

By @AmrithaPillay | #UnionBudget2023 #Budget2023WithMC",,,,,
"@IndiaWantsMB @MamataOfficial @AITCofficial @narendramodi @AmitShah @BJP4India @nsitharaman @ABHIJIT_LS @SushmitaDevAITC @FirhadHakim @ItsYourDev “Today’s budget is anti-poor, anti-people. I condemn this budget. There is no light in this budget, it’s only darkness. It contains lies, bluff. It’s to show people something because of upcoming elections” - Hon’ble Bengal CM @MamataOfficial on #Budget2023.

#IndiaWantsMamataDi",,,,,
Aspiration to become entrepreneurs in India is at an all time high! Making financial support available and visible will go a long way in driving micro-entrepreneurship @UCleanIndia @GT_Gunjan @newsindia24x7_ @nsitharaman @FinMinIndia #Budget2023 #Budget #financing https://t.co/vgFkvtxNT4,,,,,
"What will happen to LIC holding in Adani grp? 
Will LIC get back 44,713 crore from Adani grp ? #AmritKalBudget #Budget2023 #HindenburgReport https://t.co/5iBkn3Mchy",,,,,
"This #Budget2023 is BIGGEST blow to the MiddleClass Salaried Tax Payer !! 

400% INCREASE in TAX OUTGO !!! 

@CitizenKamran https://t.co/oBX16aklMq",,,,,
"30% tax on online gambling.
""Play Rummy Save Modi Government!""
#RNRavi
#Budget2023
#திமுக https://t.co/f5FFCa48mA",,,,,
"India's budget focuses on fiscal consolidation, job creation, and economic growth. Let's come together to make a better future for our nation and its people! 
Also, it has notable decisions for the educational sector as well.
#Budget2023 https://t.co/RshRwYvwVp",,,,,
"The 2023-24 FY budget is out and there are so many things to talk about. Here are few key highlights of the budget session.
#Unionbudget2023 #budget2023 #Indianbudget2023 #Unionministrybudget2023 #Tecvololabs https://t.co/4wlXPsTC1i",,,,,
"Have you tried PaywithRewards yet?
.
.
.
#PayWithRewards #KamPayKaro #rewardpoints #Budget2023 #unionbudget #UnionBudget2023 #rewards https://t.co/LqHkmRTcQV",,,,,
Very welcoming initiative towards #SaveSoil #Budget2023 https://t.co/nTbjxzfvdq,,,,,
"Government has tried to simplify the taxation regime in the budget, be it corporate tax or personal tax, Revenue Secretary Sanjay Malhotra said on Thursday. https://t.co/54nA6VYk41 #Taxation #Budget2023",,,,,
"AIR News Special Programme : Discussion on Union Budget 2023-24 today at 9:30 PM.
Experts: ▪️ TV Somanathan , Finance Secretary ▪️ Tuhin Kanta Pandey, @SecyDIPAM
▪️ Sanjay Malhotra, Revenue Secretary
@FinMinIndia | #UnionBudget2023 | #Budget2023 https://t.co/LNJ8PiFpEE",,,,,
"'Budget 2023 takes a leap in reducing India’s fiscal deficit'

@mukeshbutani, managing partner at BMR Legal Advocates, writes

#Budget2023

https://t.co/LeqRU4ppok",,,,,
"Budget 2023-24: Marginal rise in health budget not enough to keep up with inflation, experts say
https://t.co/cKbzmJHXtV
#healthcare #publichealth #Budget2023 
@tdeoll https://t.co/RPf5xKiLGE",,,,,
"#Budget2023 proposes 20% TCS on foreign expenses under LRS

https://t.co/riVs9nNhg8

By @anaghpal https://t.co/GRqFoLWNSh",,,,,
"BJP will launch a mega budget Reach Out on February 4 and 5 across India to bring to the fore what the budget means for each and every citizen, cutting across age, caste, creed and profession. 
#UnionBudget2023 #Budget2023 #BJP #panIndia #politics https://t.co/YdMWLfy7Pi",,,,,
"CPI(M) will organize nationwide protest actions against anti-people &amp; contractionary budget from 22nd-28th February 2023. All sections of the people who are vitally interested in safeguarding people’s livelihoods must rise in protest.

#UnionBudget2023 #UnionBudget #Budget2023 https://t.co/k8aHm7WYm1",,,,,
"#UnionBudget2023 | Union Finance Minister #NirmalaSitharaman will brief all BJP MPs on #Budget2023, in Parliament at 9 am tomorrow; all Rajya Sabha and Lok Sabha MPs are expected to be present.

(ANI)

📡Catch the day's latest news ➠ https://t.co/xypzD0riDo https://t.co/M2hm319GRp",,,,,
"You don't see a whole lot of populism in #Budget2023, even though this is the last full budget before parliamentary elections. India is on cusp of returning to high growth trajectory: @APanagariya tells me.
I report @PTI_News
https://t.co/dlCldCgiCP
@nsitharaman @FinMinIndia",,,,,
"A Cracker of a Budget! Totally meeting OR exceeding expectations? Prudent, Balanced, Push for New Income Tax Regime, Relief for Middle Class &amp; more in the #AmritKaalBudget

Watch this NOW to see what are the buzzwords used by Mainstream Media Houses for Budget 2023

#Budget2023 https://t.co/C2l2IpEkyD",,,,,
"Went through the major parts of #HindenburgReport and prima facie it's evident that #Adani group was engaged in stock manipulation and accounting fraud. 

#Adaniscam #HindenbergResearch #StockMarket #Budget2023",,,,,
"Number of Economists in India
on 31st Jan - 841
on 1st Feb - 2,36,771
on 2nd Feb - 15,67,826
on 3rd Feb - 841
#Budget2023",,,,,
"Increased funds for school education budget should address Covid learning loss, say educationists

Kritika Sharma @S_kritika reports for ThePrint

#Budget2023 

https://t.co/umXrBi72Kr",,,,,
"Looking for a job which comes under 30% Tax slab. So that I can contribute to government for building economy.
#Budget2023",,,,,
"Budget 2023 exists

Me to my Commerce Student 🥂
#Budget2023 https://t.co/jq7dyauWAe",,,,,
"📜 'RSM India #Budget2023 - Highlights'

And we're ready with our detailed publication &amp; year-round reference guide that analyses the various #tax and other significant proposals announced in the Budget.
https://t.co/pEMzXg5Sda

#Economy #Business #Finance #RSMIndia",,,,,
"""#FiscalDeficit projections for FY26 unrealistic,"" says Mythili Bhusnurmath on #UnionBudget2023. 

#BudgET2023 | #BudgetWithET 

📡 Catch the day's latest news ➠ https://t.co/xypzD0riDo https://t.co/FSHGLU9C5s",,,,,
"For farmers, #fertilizers could go up in cost as subsidies have been slashed.
Instead, a Natl Mission on Natural Farming has been allocated Rs.459 cr. Also the Fasal Bima (crop insurance) programme has seen a cut of about 10% in the outlay.

#GreenGrowth #Budget2023 
11/11",,,,,
"While disaster mgmt &amp; related infra have seen higher allotments, allocations under #climatechange action plan, natl adaptation fund &amp; climate resilient agri have all been discontinued &amp; the outlay for the natl coastal mission has been steeply cut.
#GreenGrowth #Budget2023 10/11",,,,,
"₹35000cr allotted as priority capital investments for #EnergyTransition, #NetZero objectives &amp; energy security under @PetroleumMin.
This isn't reflected under a single head &amp; is likely to go to abatement tech, enhanced oil recovery projects &amp; refining capacity.
#Budget2023 
9/11",,,,,
"The #Hydrogen mission will aim to establish green hydrogen production capacity of at least 5 MMT (Million Metric Tonne) p.a. with an associated RE capacity addition of about 125 GW in the country by 2030 and bring investments of over ₹8 lakh cr.

#GreenGrowth #Budget2023 
8/11",,,,,
"Green Energy Corridor has been allocated ₹500cr, double the revised estimates from the previous fiscal.
The move to accelerate the scrappage of old govt vehicles is welcomed &amp; will finally set the ball rolling on the electrification of govt fleets.
7/11
#Budget2023 #GreenGrowth",,,,,
"The projects include:
grid-connected solar ₹4000 cr
grid-connected wind ₹1214 cr solar pumps through KUSUM ₹1996 cr
Natl Hydrogen Mission ₹297 cr
Green India Mission ₹169 cr
Railways for energy efficient locomotives and metro ₹12,479 cr
#GreenGrowth #Budget2023 5/11",,,,,
"Capital raised from these bond sales will be directed to a Sovereign #GreenFund which is slated to fund abt ₹20,000 cr worth of spends in the current fiscal

What are these projects?
Read below 👇🏾👇🏾
4/11
#GreenGrowth #Budget2023",,,,,
"The #Budget2023 document clarifies that the main financing mechanism for #climate &amp; #cleanenergy allocations will be through the Sovereign Green Bonds, announced in previous budget &amp; first tranche of which was rolled out late last month.

#GreenGrowth 

2/11",,,,,
"The Indian govt has reiterated that it considers #GreenGrowth to be a core developmental priority in the #Budget2023 

What exactly does it entail? 🧵1/11 https://t.co/m2LjM7LIHV",,,,,
#Budget2023 shitiest budget ever seen .. absolute waste of taxpayers money. My challenge to Government of India I'll pay 40% tax all salaried class will pay make education and Medicare free &amp; stop pension to Politicians with immediate effect No more facility to any politician,,,,,
"The best part of this year's budget speech, Intensionally or unintensionally, she wants to replace old Political...(party word was silent) and u know which party....😂
#Budget2023 #BudgetSession #NirmalaSitaraman #fun #LighterMoments #democracy https://t.co/mgFwkfU1rx",,,,,
"My views on #Budget2023

Defeating an itchy palm for populist measures for the upcoming Election year , GoI has introdued a well-rounded budget. Special consideration on Centres for #ArtificalIntelligence with #MakeInIndia focus should be applauded

https://t.co/1UIMa3RqQi",,,,,
"Given the #AmritKaal and the importance of preparing our youth, it is crucial to have more allotment and #NEP had rightly recommended 6% of GDP as against less than 3% of GDP allocation in #Budget2023 | #UnionBudget2023 #KPMGBudgetLIVE https://t.co/ItdKzYK8Qa",,,,,
IIT Madras has been selected to receive the government grant of ₹242 crore announced in the Union #Budget2023 for undertaking research on Lab Grown Diamonds (LGD). #Labgrowndiamond #iitmadras #Budget2023 https://t.co/FZltWUQe73,,,,,
"@news24tvchannel Lo le ka budget hai 🤣🤣🤣
#NirmalaSitharaman 
#Budget2023",,,,,
"IIT Madras to receive Rs. 242 crores under Budget 2023's boost for research on lab-grown diamonds

#IIT #iitmadras #Budget2023 #BudgetSession #UnionBudget2023 #UnionBudget #diamonds #Labgrowndiamond #education #research #India 

@iitmadras 

https://t.co/97otR20Ukd",,,,,
"I have worked in the Public Policy space for the last ~9 years with State and Central Governments.

And, I have witnessed how difficult policy-making is, especially in a democracy as large as ours.

A few insider views:🧵

#Budget2023 https://t.co/syo7qVV3KB",,,,,
#TheIndiaStory | Veteran banker Naina Lal Kidwai tells @VikramChandra how India's #Budget2023 keeps a focus on growth while also ensuring fiscal consolidation. https://t.co/GWWIIS1MbK,,,,,
"https://t.co/VtHG4Qejsm

@SubramanianKri : Despite the pressures of forthcoming elections this year's #Budget2023 has done an excellent job of maintaining the emphasis on Economic Growth",,,,,
"Glad to see that some of the things I stated I hoped for in #Budget2023 in the 11th hour made it in: focus on electric mobility, pumped storage hydro and energy storage! Would have liked to see something for #offshorewind as well but alas. https://t.co/vEx2XRPCln",,,,,
"#Budget2023 | Our limited-time quiz contest on the #UnionBudget will run till 7.30 am tomorrow (Feb 3)

Play to win, for the top 10 scorers will receive a prize and get featured

Ready to put your trivia chops to the test?

@nayanika_m 
#UnionBudget2023

https://t.co/LHn8aN0P01",,,,,
"I found 7 similarities between Gautam Adani and Harshad Mehta.

And plz must tell your opinion about 7th number 🥲

#ADANIENT #adaniports #Budget2023 https://t.co/4EnWzV7q24",,,,,
"Smoker’s reaction after the union budget 2023!
#UnionBudget2023 #Budget2023 #Finance #MONEY #fincart https://t.co/awO1C9Tkbc",,,,,
